ownername,car_no,dealername,ownercity,model,price_in_usd
David Williams,BMW6104,Sonic Automotive,Houston,BMW X3,73147.91
Sarah Smith,BMW4319,Sonic Automotive,Chicago,BMW X1,81248.58
David Wilson,BMW3085,Lithia Motors,Dallas,BMW Z4,63401.98
Alex Davis,BMW3529,CarMax,Houston,BMW X1,40390.92
Emily Johnson,BMW6729,Group 1 Automotive,Dallas,BMW Z4,69750.61
Katie Jones,BMW8191,CarMax,Houston,BMW X3,85200.96
Katie Brown,BMW1265,Penske Automotive,New York,BMW Z4,55140.87
Laura Davis,BMW5070,AutoNation,New York,BMW X5,72084.08
Sarah Taylor,BMW3622,Group 1 Automotive,Phoenix,BMW X1,64675.6
John Taylor,BMW6740,CarMax,Chicago,BMW 3 Series,90810.87
John Brown,BMW3333,Sonic Automotive,San Antonio,BMW 7 Series,75926.87
Alex Davis,BMW6712,Hendrick Automotive,San Diego,BMW X7,99751.79
Laura Davis,BMW4686,Sonic Automotive,Philadelphia,BMW 7 Series,66493.6
Chris Davis,BMW6833,AutoNation,San Antonio,BMW Z4,90404.61
Katie Wilson,BMW5068,Group 1 Automotive,San Jose,BMW X7,42252.5
Alex Jones,BMW8824,Lithia Motors,San Diego,BMW 7 Series,85538.94
Laura Williams,BMW8801,CarMax,San Jose,BMW Z4,90301.38
Chris Johnson,BMW8398,AutoNation,Houston,BMW Z4,49726.97
Chris Johnson,BMW8083,Sonic Automotive,Chicago,BMW Z4,70286.71
Alex Davis,BMW8964,Penske Automotive,San Antonio,BMW 5 Series,81157.68
John Brown,BMW3913,AutoNation,Dallas,BMW 5 Series,70524.21
Michael Davis,BMW6340,Hendrick Automotive,San Jose,BMW X5,87795.74
Laura Taylor,BMW7120,Penske Automotive,San Antonio,BMW X3,75352.16
David Jones,BMW6701,Group 1 Automotive,Dallas,BMW X1,74895.02
Chris Wilson,BMW1590,CarMax,Phoenix,BMW Z4,63927.96
Michael Miller,BMW6817,Penske Automotive,Los Angeles,BMW X1,39423.04
Michael Brown,BMW3102,Penske Automotive,Los Angeles,BMW 5 Series,40991.66
Michael Moore,BMW6892,AutoNation,New York,BMW 3 Series,54975.33
Laura Jones,BMW6124,Group 1 Automotive,Houston,BMW 5 Series,90309.62
Michael Moore,BMW5518,AutoNation,Philadelphia,BMW X1,88109.33
Laura Moore,BMW8393,Lithia Motors,Dallas,BMW X1,36575.85
Michael Johnson,BMW6563,Group 1 Automotive,Chicago,BMW 3 Series,90856.19
Jane Wilson,BMW9986,Penske Automotive,San Antonio,BMW X1,74371.18
Sarah Moore,BMW4995,Lithia Motors,San Jose,BMW 5 Series,63580.83
Sarah Moore,BMW3476,Penske Automotive,Dallas,BMW X3,70664.59
Jane Miller,BMW9478,Group 1 Automotive,Phoenix,BMW 5 Series,52210.78
Michael Moore,BMW1767,Hendrick Automotive,San Antonio,BMW X1,93520.44
Michael Williams,BMW8611,Penske Automotive,Dallas,BMW X1,93182.27
Laura Taylor,BMW5223,AutoNation,Chicago,BMW X3,79609.95
Michael Williams,BMW2358,Sonic Automotive,New York,BMW X3,69605.98
Jane Jones,BMW2774,Hendrick Automotive,San Diego,BMW X7,50720.3
Jane Smith,BMW8732,Hendrick Automotive,San Diego,BMW X5,40120.24
Sarah Miller,BMW3044,Sonic Automotive,San Antonio,BMW X3,87813.56
Katie Taylor,BMW2199,Sonic Automotive,San Jose,BMW 5 Series,42627.66
Michael Miller,BMW7940,Group 1 Automotive,Phoenix,BMW X1,65944.92
John Davis,BMW7910,CarMax,Phoenix,BMW X5,62461.2
Chris Davis,BMW2622,Penske Automotive,Chicago,BMW 5 Series,92482.04
Emily Wilson,BMW4687,Sonic Automotive,San Antonio,BMW 7 Series,64107.32
Chris Taylor,BMW4446,AutoNation,Houston,BMW X7,70685.94
Laura Johnson,BMW4988,Hendrick Automotive,New York,BMW 3 Series,70417.79
David Davis,BMW4538,Group 1 Automotive,Chicago,BMW X7,65535.86
Michael Wilson,BMW4228,Hendrick Automotive,Los Angeles,BMW X1,74396.93
Jane Davis,BMW2407,AutoNation,San Jose,BMW 3 Series,65528.5
Emily Brown,BMW3771,AutoNation,Houston,BMW 3 Series,92125.82
Katie Smith,BMW5920,Lithia Motors,Houston,BMW X7,91879.7
Chris Johnson,BMW5635,CarMax,San Antonio,BMW X1,52441.88
Chris Miller,BMW3768,Sonic Automotive,San Jose,BMW 5 Series,72603.95
Chris Jones,BMW3965,CarMax,Los Angeles,BMW 5 Series,87598.86
Laura Smith,BMW6296,AutoNation,Chicago,BMW 7 Series,90467.49
David Davis,BMW3432,Group 1 Automotive,Houston,BMW X7,89593.26
David Jones,BMW4425,CarMax,Houston,BMW Z4,98670.04
Chris Wilson,BMW5376,Penske Automotive,Dallas,BMW Z4,48199.36
Sarah Wilson,BMW5037,Lithia Motors,Chicago,BMW X1,48042.07
Chris Johnson,BMW2992,CarMax,Los Angeles,BMW 7 Series,55971.44
Alex Williams,BMW3514,Sonic Automotive,San Jose,BMW 3 Series,89125.62
John Smith,BMW5090,Lithia Motors,San Jose,BMW X7,56414.05
Sarah Miller,BMW7053,Sonic Automotive,San Diego,BMW 3 Series,46269.8
Jane Jones,BMW8417,CarMax,New York,BMW Z4,82917.18
Jane Smith,BMW6278,Sonic Automotive,Philadelphia,BMW Z4,90233.56
David Wilson,BMW2969,AutoNation,San Antonio,BMW 7 Series,59048.72
Alex Taylor,BMW9070,Lithia Motors,Houston,BMW 5 Series,83741.59
